topic,n_miscomm,n_no_miscomm,n_total
javascript,339435.0,2142948.0,2482383
python,293149.0,1877464.0,2170613
java,287850.0,1598244.0,1886094
c#,255915.0,1348178.0,1604093
php,204649.0,1241812.0,1446461
android,163494.0,1206268.0,1369762
html,158888.0,1014506.0,1173394
jquery,143735.0,876134.0,1019869
c++,153457.0,654728.0,808185
css,100062.0,697754.0,797816
sql,103604.0,568391.0,671995
ios,83886.0,584729.0,668615
mysql,97501.0,556245.0,653746
r,55511.0,447519.0,503030
reactjs,50369.0,407631.0,458000
node.js,52683.0,402765.0,455448
arrays,72523.0,343766.0,416289
c,82868.0,323270.0,406138
asp.net,49608.0,318333.0,367941
json,49912.0,306470.0,356382
.net,49698.0,286168.0,335866
sql-server,51941.0,282957.0,334898
python-3.x,43277.0,291323.0,334600
ruby-on-rails,39921.0,292816.0,332737
swift,44954.0,283270.0,328224
django,38614.0,266549.0,305163
angular,33412.0,264805.0,298217
objective-c,40211.0,247256.0,287467
excel,40110.0,246942.0,287052
pandas,31503.0,255410.0,286913
regex,38665.0,222049.0,260714
angularjs,29856.0,226288.0,256144
typescript,25762.0,201509.0,227271
ruby,29891.0,196920.0,226811
linux,30106.0,193676.0,223782
ajax,32748.0,184906.0,217654
iphone,26361.0,190487.0,216848
vba,32971.0,182305.0,215276
xml,26947.0,184787.0,211734
laravel,24514.0,184763.0,209277
spring,25374.0,181266.0,206640
asp.net-mvc,28908.0,169212.0,198120
database,28407.0,163248.0,191655
wordpress,18271.0,166765.0,185036
string,31696.0,152858.0,184554
postgresql,20925.0,155461.0,176386
flutter,15677.0,155668.0,171345
mongodb,18404.0,152706.0,171110
wpf,22896.0,144771.0,167667
windows,21433.0,142977.0,164410
bash,23086.0,133135.0,156221
xcode,18883.0,136101.0,154984
amazon-web-services,16586.0,137284.0,153870
oracle-database,22074.0,129454.0,151528
git,22201.0,129297.0,151498
dataframe,16044.0,131699.0,147743
spring-boot,16387.0,129165.0,145552
azure,14531.0,127978.0,142509
list,23377.0,118060.0,141437
multithreading,26121.0,113215.0,139336
firebase,16655.0,122284.0,138939
vb.net,20906.0,117938.0,138844
docker,14608.0,119700.0,134308
react-native,11015.0,117338.0,128353
eclipse,14814.0,107290.0,122104
algorithm,28133.0,92519.0,120652
powershell,13198.0,104981.0,118179
macos,12511.0,102278.0,114789
numpy,15980.0,98110.0,114090
visual-studio,14288.0,99192.0,113480
