topic,category,n_miscomm,n_no_miscomm,n_total
javascript,comprehension_failure,174903.0,2307480.0,2482383
python,comprehension_failure,146253.0,2024360.0,2170613
java,comprehension_failure,140759.0,1745335.0,1886094
c#,comprehension_failure,128178.0,1475915.0,1604093
php,comprehension_failure,99927.0,1346534.0,1446461
android,comprehension_failure,75541.0,1294221.0,1369762
html,comprehension_failure,85353.0,1088041.0,1173394
jquery,comprehension_failure,74695.0,945174.0,1019869
c++,comprehension_failure,84211.0,723974.0,808185
css,comprehension_failure,56626.0,741190.0,797816
sql,comprehension_failure,51280.0,620715.0,671995
ios,comprehension_failure,39898.0,628717.0,668615
mysql,comprehension_failure,47285.0,606461.0,653746
r,comprehension_failure,30135.0,472895.0,503030
reactjs,comprehension_failure,23397.0,434603.0,458000
node.js,comprehension_failure,23420.0,432028.0,455448
arrays,comprehension_failure,37870.0,378419.0,416289
c,comprehension_failure,44765.0,361373.0,406138
asp.net,comprehension_failure,23390.0,344551.0,367941
json,comprehension_failure,22157.0,334225.0,356382
.net,comprehension_failure,25492.0,310374.0,335866
sql-server,comprehension_failure,24661.0,310237.0,334898
python-3.x,comprehension_failure,21511.0,313089.0,334600
ruby-on-rails,comprehension_failure,17700.0,315037.0,332737
swift,comprehension_failure,21186.0,307038.0,328224
django,comprehension_failure,17102.0,288061.0,305163
angular,comprehension_failure,15583.0,282634.0,298217
objective-c,comprehension_failure,19802.0,267665.0,287467
excel,comprehension_failure,20383.0,266669.0,287052
pandas,comprehension_failure,14872.0,272041.0,286913
regex,comprehension_failure,22078.0,238636.0,260714
angularjs,comprehension_failure,14337.0,241807.0,256144
typescript,comprehension_failure,12764.0,214507.0,227271
ruby,comprehension_failure,14618.0,212193.0,226811
linux,comprehension_failure,15011.0,208771.0,223782
ajax,comprehension_failure,15452.0,202202.0,217654
iphone,comprehension_failure,12991.0,203857.0,216848
vba,comprehension_failure,16804.0,198472.0,215276
xml,comprehension_failure,12645.0,199089.0,211734
laravel,comprehension_failure,10632.0,198645.0,209277
spring,comprehension_failure,11080.0,195560.0,206640
asp.net-mvc,comprehension_failure,13501.0,184619.0,198120
database,comprehension_failure,14082.0,177573.0,191655
wordpress,comprehension_failure,8791.0,176245.0,185036
string,comprehension_failure,16849.0,167705.0,184554
postgresql,comprehension_failure,10025.0,166361.0,176386
flutter,comprehension_failure,6599.0,164746.0,171345
mongodb,comprehension_failure,8353.0,162757.0,171110
wpf,comprehension_failure,11446.0,156221.0,167667
windows,comprehension_failure,10585.0,153825.0,164410
bash,comprehension_failure,11881.0,144340.0,156221
xcode,comprehension_failure,8783.0,146201.0,154984
amazon-web-services,comprehension_failure,7498.0,146372.0,153870
oracle-database,comprehension_failure,10845.0,140683.0,151528
git,comprehension_failure,11455.0,140043.0,151498
dataframe,comprehension_failure,7812.0,139931.0,147743
spring-boot,comprehension_failure,6914.0,138638.0,145552
azure,comprehension_failure,6520.0,135989.0,142509
list,comprehension_failure,12517.0,128920.0,141437
multithreading,comprehension_failure,14050.0,125286.0,139336
firebase,comprehension_failure,7073.0,131866.0,138939
vb.net,comprehension_failure,9957.0,128887.0,138844
docker,comprehension_failure,6158.0,128150.0,134308
react-native,comprehension_failure,4725.0,123628.0,128353
eclipse,comprehension_failure,7123.0,114981.0,122104
algorithm,comprehension_failure,16442.0,104210.0,120652
powershell,comprehension_failure,6098.0,112081.0,118179
macos,comprehension_failure,5707.0,109082.0,114789
numpy,comprehension_failure,8674.0,105416.0,114090
visual-studio,comprehension_failure,7169.0,106311.0,113480
forms,comprehension_failure,7980.0,103790.0,111770
image,comprehension_failure,7693.0,103688.0,111381
function,comprehension_failure,9911.0,100956.0,110867
scala,comprehension_failure,6734.0,104012.0,110746
vue.js,comprehension_failure,5301.0,99778.0,105079
twitter-bootstrap,comprehension_failure,5951.0,95465.0,101416
performance,comprehension_failure,9456.0,91702.0,101158
winforms,comprehension_failure,8136.0,90370.0,98506
selenium,comprehension_failure,4945.0,93149.0,98094
loops,comprehension_failure,8361.0,87829.0,96190
kotlin,comprehension_failure,5007.0,89409.0,94416
sqlite,comprehension_failure,5564.0,88221.0,93785
matlab,comprehension_failure,8270.0,85119.0,93389
python-2.7,comprehension_failure,6375.0,86707.0,93082
hibernate,comprehension_failure,5203.0,87637.0,92840
shell,comprehension_failure,6784.0,85660.0,92444
express,comprehension_failure,4659.0,87591.0,92250
dart,comprehension_failure,3957.0,87926.0,91883
entity-framework,comprehension_failure,6651.0,83840.0,90491
csv,comprehension_failure,6018.0,83581.0,89599
rest,comprehension_failure,4772.0,84607.0,89379
apache,comprehension_failure,4602.0,84681.0,89283
maven,comprehension_failure,5030.0,82055.0,87085
android-studio,comprehension_failure,3821.0,82941.0,86762
linq,comprehension_failure,7937.0,78520.0,86457
dictionary,comprehension_failure,7522.0,78234.0,85756
qt,comprehension_failure,5752.0,79010.0,84762
asp.net-core,comprehension_failure,5283.0,78687.0,83970
unit-testing,comprehension_failure,4570.0,78808.0,83378
facebook,comprehension_failure,3742.0,78102.0,81844
swing,comprehension_failure,6740.0,74360.0,81100
file,comprehension_failure,6690.0,73876.0,80566
class,comprehension_failure,8308.0,71164.0,79472
apache-spark,comprehension_failure,3599.0,75615.0,79214
tensorflow,comprehension_failure,3787.0,74054.0,77841
sorting,comprehension_failure,6962.0,69887.0,76849
date,comprehension_failure,5265.0,71449.0,76714
unity-game-engine,comprehension_failure,5243.0,69644.0,74887
t-sql,comprehension_failure,5607.0,67941.0,73548
go,comprehension_failure,4124.0,68644.0,72768
authentication,comprehension_failure,3984.0,68678.0,72662
symfony,comprehension_failure,3940.0,68706.0,72646
for-loop,comprehension_failure,6423.0,65349.0,71772
.htaccess,comprehension_failure,4238.0,67458.0,71696
matplotlib,comprehension_failure,4375.0,67099.0,71474
datetime,comprehension_failure,4985.0,66135.0,71120
opencv,comprehension_failure,4710.0,66196.0,70906
google-chrome,comprehension_failure,3566.0,65650.0,69216
codeigniter,comprehension_failure,3815.0,64791.0,68606
perl,comprehension_failure,6459.0,61574.0,68033
validation,comprehension_failure,4268.0,62207.0,66475
http,comprehension_failure,4005.0,62404.0,66409
sockets,comprehension_failure,5346.0,59517.0,64863
object,comprehension_failure,5891.0,58809.0,64700
google-maps,comprehension_failure,3042.0,61482.0,64524
uitableview,comprehension_failure,4578.0,58945.0,63523
xaml,comprehension_failure,4011.0,58207.0,62218
if-statement,comprehension_failure,5516.0,56500.0,62016
oop,comprehension_failure,6754.0,55241.0,61995
ubuntu,comprehension_failure,2603.0,56326.0,58929
cordova,comprehension_failure,2219.0,56010.0,58229
visual-studio-code,comprehension_failure,2725.0,55475.0,58200
email,comprehension_failure,3097.0,54868.0,57965
android-layout,comprehension_failure,3293.0,54428.0,57721
ms-access,comprehension_failure,4532.0,53164.0,57696
web-services,comprehension_failure,3234.0,54437.0,57671
spring-mvc,comprehension_failure,2982.0,54232.0,57214
ggplot2,comprehension_failure,3226.0,53966.0,57192
parsing,comprehension_failure,4071.0,52935.0,57006
pointers,comprehension_failure,7260.0,49674.0,56934
github,comprehension_failure,3360.0,53294.0,56654
user-interface,comprehension_failure,3919.0,52603.0,56522
kubernetes,comprehension_failure,2571.0,53942.0,56513
c++11,comprehension_failure,6940.0,49569.0,56509
selenium-webdriver,comprehension_failure,2650.0,53496.0,56146
google-sheets,comprehension_failure,3974.0,52035.0,56009
elasticsearch,comprehension_failure,2499.0,53432.0,55931
google-apps-script,comprehension_failure,4763.0,50472.0,55235
templates,comprehension_failure,5300.0,49906.0,55206
ruby-on-rails-3,comprehension_failure,2772.0,52319.0,55091
security,comprehension_failure,4233.0,50705.0,54938
variables,comprehension_failure,4877.0,48790.0,53667
machine-learning,comprehension_failure,3662.0,49859.0,53521
flask,comprehension_failure,2589.0,50840.0,53429
sql-server-2008,comprehension_failure,3922.0,49466.0,53388
exception,comprehension_failure,4011.0,49033.0,53044
tkinter,comprehension_failure,4042.0,48278.0,52320
delphi,comprehension_failure,4784.0,47382.0,52166
nginx,comprehension_failure,2223.0,49827.0,52050
listview,comprehension_failure,3317.0,48377.0,51694
haskell,comprehension_failure,4765.0,46701.0,51466
debugging,comprehension_failure,3286.0,47933.0,51219
asynchronous,comprehension_failure,4338.0,46758.0,51096
jpa,comprehension_failure,3254.0,47830.0,51084
jsp,comprehension_failure,3003.0,47773.0,50776
web-scraping,comprehension_failure,2697.0,47950.0,50647
gradle,comprehension_failure,1959.0,48396.0,50355
batch-file,comprehension_failure,3479.0,46695.0,50174
generics,comprehension_failure,5111.0,44843.0,49954
xamarin,comprehension_failure,2847.0,47044.0,49891
pdf,comprehension_failure,2832.0,46883.0,49715
google-cloud-platform,comprehension_failure,2381.0,46946.0,49327
wcf,comprehension_failure,2946.0,46309.0,49255
amazon-s3,comprehension_failure,2431.0,46692.0,49123
ssl,comprehension_failure,2312.0,46694.0,49006
testing,comprehension_failure,2467.0,46306.0,48773
jenkins,comprehension_failure,2025.0,46506.0,48531
npm,comprehension_failure,1732.0,45773.0,47505
unix,comprehension_failure,3613.0,43748.0,47361
recursion,comprehension_failure,4830.0,42341.0,47171
ionic-framework,comprehension_failure,1789.0,44602.0,46391
network-programming,comprehension_failure,3244.0,43046.0,46290
google-app-engine,comprehension_failure,2467.0,43630.0,46097
visual-studio-2010,comprehension_failure,2962.0,42705.0,45667
mongoose,comprehension_failure,2007.0,43391.0,45398
assembly,comprehension_failure,4778.0,40240.0,45018
.net-core,comprehension_failure,2606.0,42163.0,44769
android-fragments,comprehension_failure,2791.0,41505.0,44296
math,comprehension_failure,5560.0,38714.0,44274
join,comprehension_failure,3548.0,40069.0,43617
winapi,comprehension_failure,3779.0,39658.0,43437
svg,comprehension_failure,2744.0,40656.0,43400
rust,comprehension_failure,2696.0,40547.0,43243
animation,comprehension_failure,2504.0,40736.0,43240
session,comprehension_failure,3003.0,40159.0,43162
intellij-idea,comprehension_failure,2092.0,41002.0,43094
django-models,comprehension_failure,2524.0,40501.0,43025
laravel-5,comprehension_failure,2147.0,40816.0,42963
curl,comprehension_failure,2128.0,40719.0,42847
hadoop,comprehension_failure,1825.0,40928.0,42753
javascript,intent_confusion,13955.0,2468428.0,2482383
python,intent_confusion,12117.0,2158496.0,2170613
java,intent_confusion,11970.0,1874124.0,1886094
c#,intent_confusion,11946.0,1592147.0,1604093
php,intent_confusion,7805.0,1438656.0,1446461
android,intent_confusion,5174.0,1364588.0,1369762
html,intent_confusion,5459.0,1167935.0,1173394
jquery,intent_confusion,5393.0,1014476.0,1019869
c++,intent_confusion,7904.0,800281.0,808185
css,intent_confusion,3182.0,794634.0,797816
sql,intent_confusion,4502.0,667493.0,671995
ios,intent_confusion,2861.0,665754.0,668615
mysql,intent_confusion,3753.0,649993.0,653746
r,intent_confusion,1618.0,501412.0,503030
reactjs,intent_confusion,1889.0,456111.0,458000
node.js,intent_confusion,1866.0,453582.0,455448
arrays,intent_confusion,3480.0,412809.0,416289
c,intent_confusion,4387.0,401751.0,406138
asp.net,intent_confusion,1866.0,366075.0,367941
json,intent_confusion,1660.0,354722.0,356382
.net,intent_confusion,2345.0,333521.0,335866
sql-server,intent_confusion,2576.0,332322.0,334898
python-3.x,intent_confusion,1965.0,332635.0,334600
ruby-on-rails,intent_confusion,1137.0,331600.0,332737
swift,intent_confusion,1759.0,326465.0,328224
django,intent_confusion,1283.0,303880.0,305163
angular,intent_confusion,1266.0,296951.0,298217
objective-c,intent_confusion,1463.0,286004.0,287467
excel,intent_confusion,1482.0,285570.0,287052
pandas,intent_confusion,1149.0,285764.0,286913
regex,intent_confusion,1643.0,259071.0,260714
angularjs,intent_confusion,1152.0,254992.0,256144
typescript,intent_confusion,1176.0,226095.0,227271
ruby,intent_confusion,1138.0,225673.0,226811
linux,intent_confusion,1243.0,222539.0,223782
ajax,intent_confusion,1146.0,216508.0,217654
iphone,intent_confusion,855.0,215993.0,216848
vba,intent_confusion,1311.0,213965.0,215276
xml,intent_confusion,802.0,210932.0,211734
laravel,intent_confusion,815.0,208462.0,209277
spring,intent_confusion,905.0,205735.0,206640
asp.net-mvc,intent_confusion,1329.0,196791.0,198120
database,intent_confusion,1016.0,190639.0,191655
wordpress,intent_confusion,476.0,184560.0,185036
string,intent_confusion,1522.0,183032.0,184554
postgresql,intent_confusion,758.0,175628.0,176386
flutter,intent_confusion,468.0,170877.0,171345
mongodb,intent_confusion,634.0,170476.0,171110
wpf,intent_confusion,941.0,166726.0,167667
windows,intent_confusion,840.0,163570.0,164410
bash,intent_confusion,1206.0,155015.0,156221
xcode,intent_confusion,536.0,154448.0,154984
amazon-web-services,intent_confusion,455.0,153415.0,153870
oracle-database,intent_confusion,1018.0,150510.0,151528
git,intent_confusion,724.0,150774.0,151498
dataframe,intent_confusion,545.0,147198.0,147743
spring-boot,intent_confusion,592.0,144960.0,145552
azure,intent_confusion,413.0,142096.0,142509
list,intent_confusion,1115.0,140322.0,141437
multithreading,intent_confusion,1522.0,137814.0,139336
firebase,intent_confusion,411.0,138528.0,138939
vb.net,intent_confusion,902.0,137942.0,138844
docker,intent_confusion,492.0,133816.0,134308
react-native,intent_confusion,290.0,128063.0,128353
eclipse,intent_confusion,389.0,121715.0,122104
algorithm,intent_confusion,873.0,119779.0,120652
powershell,intent_confusion,527.0,117652.0,118179
macos,intent_confusion,386.0,114403.0,114789
numpy,intent_confusion,722.0,113368.0,114090
visual-studio,intent_confusion,451.0,113029.0,113480
forms,intent_confusion,538.0,111232.0,111770
image,intent_confusion,473.0,110908.0,111381
function,intent_confusion,1072.0,109795.0,110867
scala,intent_confusion,614.0,110132.0,110746
vue.js,intent_confusion,379.0,104700.0,105079
twitter-bootstrap,intent_confusion,315.0,101101.0,101416
performance,intent_confusion,884.0,100274.0,101158
winforms,intent_confusion,637.0,97869.0,98506
selenium,intent_confusion,570.0,97524.0,98094
loops,intent_confusion,957.0,95233.0,96190
kotlin,intent_confusion,459.0,93957.0,94416
