category,total_questions,total_miscomm,global_miscomm_rate
comprehension_failure,23698887,1540451,0.06500098506735781
intent_confusion,23698887,123195,0.005198345390650624
terminology,23698887,121726,0.005136359357298088
referential,23698887,190927,0.008056369904628855
missing_info,23698887,408857,0.017252160407364277
contradiction,23698887,1864,7.86534827563843e-05
pragmatic_tone,23698887,2855,0.00012046979252654355
actionability,23698887,817115,0.034479045366138925
scope_ambiguity,23698887,40067,0.0016906701145923014
quantifier_distribution,23698887,21945,0.0009259928535884406
logical_structure,23698887,1137,4.797693663841682e-05
epistemic,23698887,171291,0.007227807786922651
comparison_measurement,23698887,72723,0.003068625121508871
