topic,category,n_miscomm,n_no_miscomm,n_total,p_value,estimate,ci_lower,ci_upper,p_adj,significant,direction
javascript,comprehension_failure,174903,2307480,2482383,1.221530477462877e-239,0.07045770132973034,0.00512324703294271,0.005790185491802343,9.396388288175977e-239,TRUE,above_baseline
python,comprehension_failure,146253,2024360,2170613,5.1965515533131294e-42,0.06737866215672715,0.0020297391133590635,0.0027256150653796165,9.116757111075665e-42,TRUE,above_baseline
java,comprehension_failure,140759,1745335,1886094,0,0.07462989649508454,0.009240957349372256,0.01001686550608121,0,TRUE,above_baseline
c#,comprehension_failure,128178,1475915,1604093,0,0.07990683831922463,0.01447466857598685,0.015337037927746782,0,TRUE,above_baseline
php,comprehension_failure,99927,1346534,1446461,4.949136340121432e-83,0.06908378449194275,0.0036577737418438017,0.004507825107326067,1.2690093179798545e-82,TRUE,above_baseline
android,comprehension_failure,75541,1294221,1369762,0,0.0551489966870157,-0.010246938605410242,-0.00945703815527398,0,TRUE,below_baseline
html,comprehension_failure,85353,1088041,1173394,2.2849852573758267e-240,0.07274027308815283,0.007259010530467602,0.008219565511122429,1.8279882059006613e-239,TRUE,above_baseline
jquery,comprehension_failure,74695,945174,1019869,2.4825822576287403e-238,0.07323979844470221,0.007723533352037643,0.008754093402651163,1.8389498204657335e-237,TRUE,above_baseline
c++,comprehension_failure,84211,723974,808185,0,0.1041976775119558,0.03852325581731727,0.03987012907187871,0,TRUE,above_baseline
css,comprehension_failure,56626,741190,797816,2.432873901761556e-100,0.07097626520400693,0.005403140403568312,0.006547419869729932,7.485765851574019e-100,TRUE,above_baseline
sql,comprehension_failure,51280,620715,671995,1.1251116274615225e-299,0.0763100915929434,0.010666619551144703,0.011951593500026473,1.184328028906866e-298,TRUE,above_baseline
ios,comprehension_failure,39898,628717,668615,3.6017860454990615e-68,0.059672606806607686,-0.005904777375857278,-0.004751979145642971,7.58270746420855e-68,TRUE,below_baseline
mysql,comprehension_failure,47285,606461,653746,6.241326596549805e-124,0.07232931444322413,0.006692622783734446,0.007964035967998192,2.0804421988499352e-123,TRUE,above_baseline
r,comprehension_failure,30135,472895,503030,1.000704580512732e-47,0.05990696379937578,-0.0057572954291415235,-0.004430747106822536,1.8881218500240227e-47,TRUE,below_baseline
reactjs,comprehension_failure,23397,434603,458000,1.832530491e-314,0.05108515283842795,-0.01456115202513169,-0.013270512432728039,2.0361449898e-313,TRUE,below_baseline
node.js,comprehension_failure,23420,432028,455448,7.1211005035228324e-298,0.051421896681948326,-0.014228137659747526,-0.012930039111071445,7.121100503522833e-297,TRUE,below_baseline
arrays,comprehension_failure,37870,378419,416289,0,0.09097045562097485,0.025090295826540467,0.026848645280693605,0,TRUE,above_baseline
c,comprehension_failure,44765,361373,406138,0,0.11022115635572145,0.04425194076651681,0.04618840181021047,0,TRUE,above_baseline
asp.net,comprehension_failure,23390,344551,367941,4.7489480758585974e-4,0.06356997453396061,-0.0022255906036776868,-6.364304631167088e-4,5.247456437412815e-4,TRUE,below_baseline
json,comprehension_failure,22157,334225,356382,1.0353995732892113e-11,0.06217205133817084,-0.0036278968292604583,-0.0020299706291134886,1.3274353503707838e-11,TRUE,below_baseline
.net,comprehension_failure,25492,310374,335866,1.8308154014649625e-142,0.07589931698951367,0.009997188202080315,0.01179947564223141,7.179668241039069e-142,TRUE,above_baseline
sql-server,comprehension_failure,24661,310237,334898,5.553218092921829e-90,0.0736373462964843,0.007746241797521242,0.00952648066073174,1.4808581581124878e-89,TRUE,above_baseline
python-3.x,comprehension_failure,21511,313089,334600,0.09696998002159156,0.06428870292887029,-0.0015492311009244614,1.246668239494182e-4,0.10261373547258365,FALSE,not_significant
ruby-on-rails,comprehension_failure,17700,315037,332737,4.73993006375263e-166,0.05319516615224637,-0.012574793542988117,-0.011036844287234764,2.3121610067086e-165,TRUE,below_baseline
swift,comprehension_failure,21186,307038,328224,0.29512057262270475,0.06454738227551916,-0.0013000879294319911,3.928823457546958e-4,0.3042480130130976,FALSE,not_significant
django,comprehension_failure,17102,288061,305163,1.1548616870369254e-88,0.05604218073619672,-0.009780866709424319,-0.008136741952897866,3.039109702728751e-88,TRUE,below_baseline
angular,comprehension_failure,15583,282634,298217,1.212114011809781e-173,0.052253895653165315,-0.013551939429387816,-0.011942239398997176,6.215969291332211e-173,TRUE,below_baseline
objective-c,comprehension_failure,19802,267665,287467,4.765914206069512e-17,0.06888442847352913,0.0029523397200453094,0.004814547092297328,6.48423701506056e-17,TRUE,above_baseline
excel,comprehension_failure,20383,266669,287052,1.8112360441605613e-38,0.07100804035505762,0.00506226074894253,0.006951849826457081,3.0961299900180535e-38,TRUE,above_baseline
