topic,n_miscomm,n_no_miscomm,n_total,miscomm_rate,ci_lower,ci_upper
javascript,339435,2142948,2482383,0.1367375622536893,0.136310159795334,0.1371649647120446
python,293149,1877464,2170613,0.13505355399603705,0.13459886704628382,0.13550824094579028
java,287850,1598244,1886094,0.15261699575949025,0.15210376139294082,0.15313023012603968
c#,255915,1348178,1604093,0.15953875492256372,0.1589720809774081,0.16010542886771936
php,204649,1241812,1446461,0.1414825563910814,0.14091458204776158,0.14205053073440121
android,163494,1206268,1369762,0.11935942156374611,0.11881646984312544,0.11990237328436679
html,158888,1014506,1173394,0.135408907834879,0.13478980451093125,0.13602801115882673
jquery,143735,876134,1019869,0.14093476711224676,0.1402594526998479,0.1416100815246456
c++,153457,654728,808185,0.18987855503381032,0.18902346134327877,0.19073364872434187
css,100062,697754,797816,0.12541989631694525,0.12469314184005427,0.12614665079383622
sql,103604,568391,671995,0.15417376617385545,0.15331035261041392,0.15503717973729697
ios,83886,584729,668615,0.12546233632209866,0.12466834828711693,0.1262563243570804
mysql,97501,556245,653746,0.14914202151906092,0.14827848621118211,0.15000555682693972
r,55511,447519,503030,0.11035325924895135,0.10948737367067941,0.1112191448272233
reactjs,50369,407631,458000,0.1099759825327511,0.10906988881176748,0.11088207625373471
node.js,52683,402765,455448,0.11567291985034515,0.11474404119573042,0.11660179850495989
arrays,72523,343766,416289,0.17421310675996723,0.17306089312744893,0.17536532039248554
c,82868,323270,406138,0.2040390212193885,0.2027995919071483,0.2052784505316287
asp.net,49608,318333,367941,0.13482596394530644,0.13372237971740397,0.1359295481732089
json,49912,306470,356382,0.14005196670987874,0.13891255966401328,0.1411913737557442
.net,49698,286168,335866,0.14796972602168723,0.14676888089963644,0.14917057114373802
sql-server,51941,282957,334898,0.15509498414442607,0.15386894985974128,0.15632101842911086
python-3.x,43277,291323,334600,0.1293395098625224,0.1282024505302807,0.1304765691947641
ruby-on-rails,39921,292816,332737,0.11997763999795634,0.11887355493591614,0.12108172505999654
swift,44954,283270,328224,0.13696134347275032,0.1357851330256101,0.13813755391989055
django,38614,266549,305163,0.12653565471567654,0.12535609703546385,0.12771521239588923
angular,33412,264805,298217,0.11203921976279019,0.11090715361776698,0.11317128590781339
objective-c,40211,247256,287467,0.13988040366372487,0.1386124016808915,0.14114840564655823
excel,40110,246942,287052,0.13973078048576565,0.13846243076600004,0.14099913020553126
pandas,31503,255410,286913,0.10979983479312544,0.10865583581454821,0.11094383377170267
regex,38665,222049,260714,0.1483042721142708,0.1469400252626925,0.1496685189658491
angularjs,29856,226288,256144,0.11655943531763382,0.11531670651664443,0.11780216411862322
typescript,25762,201509,227271,0.1133536614878273,0.11205026349185333,0.11465705948380127
ruby,29891,196920,226811,0.13178814078682252,0.13039602603006956,0.1331802555435755
linux,30106,193676,223782,0.1345327148742973,0.13311893180295015,0.13594649794564445
ajax,32748,184906,217654,0.15045898536208846,0.14895697134816896,0.15196099937600796
iphone,26361,190487,216848,0.12156441378292629,0.12018898993067777,0.12293983763517481
vba,32971,182305,215276,0.1531568776826028,0.15163553167857988,0.15467822368662573
xml,26947,184787,211734,0.12726817610775784,0.12584859213737842,0.12868776007813726
laravel,24514,184763,209277,0.11713661797521945,0.11575881089135806,0.11851442505908083
spring,25374,181266,206640,0.12279326364692218,0.12137816366632954,0.12420836362751482
asp.net-mvc,28908,169212,198120,0.14591156874621442,0.14435707780788354,0.1474660596845453
database,28407,163248,191655,0.1482194568365031,0.14662866827015214,0.14981024540285404
wordpress,18271,166765,185036,0.09874294731835967,0.09738367855490142,0.10010221608181792
string,31696,152858,184554,0.17174377147068068,0.17002302378858125,0.1734645191527801
postgresql,20925,155461,176386,0.11863186420690984,0.1171228151239671,0.12014091328985257
flutter,15677,155668,171345,0.09149376987948292,0.09012862083450927,0.09285891892445657
mongodb,18404,152706,171110,0.10755654257495179,0.10608853888444843,0.10902454626545514
wpf,22896,144771,167667,0.13655638855588756,0.13491275395168356,0.13820002316009156
windows,21433,142977,164410,0.13036311659874703,0.1287355517580869,0.13199068143940715
bash,23086,133135,156221,0.14777782756479602,0.14601801093193043,0.1495376441976616
xcode,18883,136101,154984,0.12183838331698756,0.12020986769942407,0.12346689893455104
amazon-web-services,16586,137284,153870,0.10779229219470982,0.10624274098471616,0.10934184340470347
oracle-database,22074,129454,151528,0.1456760466712423,0.1438997520898474,0.14745234125263718
git,22201,129297,151498,0.1465431886889596,0.14476234330618606,0.14832403407173314
dataframe,16044,131699,147743,0.10859397737963897,0.10700746572557439,0.11018048903370355
spring-boot,16387,129165,145552,0.11258519292074311,0.11096132405090783,0.11420906179057838
azure,14531,127978,142509,0.10196548989888359,0.10039437465192595,0.10353660514584122
list,23377,118060,141437,0.16528206904841025,0.16334628326869227,0.16721785482812823
multithreading,26121,113215,139336,0.18746770396738818,0.18541839260432624,0.18951701533045012
firebase,16655,122284,138939,0.1198727499118318,0.11816479282392671,0.1215807069997369
vb.net,20906,117938,138844,0.150571864826712,0.14869069610808566,0.15245303354533835
docker,14608,119700,134308,0.10876492837358906,0.10709980773550637,0.11043004901167175
react-native,11015,117338,128353,0.08581801749861709,0.08428566518999132,0.08735036980724285
eclipse,14814,107290,122104,0.12132280678765642,0.11949143285883687,0.12315418071647596
algorithm,28133,92519,120652,0.2331747505221629,0.23078871024012756,0.23556079080419826
powershell,13198,104981,118179,0.11167804770729148,0.10988225989446251,0.11347383552012044
macos,12511,102278,114789,0.10899127965223149,0.1071884994164335,0.11079405988802947
numpy,15980,98110,114090,0.14006486107459024,0.13805099898500048,0.14207872316418
visual-studio,14288,99192,113480,0.12590764892492068,0.1239774541975685,0.12783784365227285
forms,16178,95592,111770,0.14474367003668248,0.14268094478807664,0.14680639528528833
image,15149,96232,111381,0.1360106301792945,0.133997410620646,0.138023849737943
function,18313,92554,110867,0.1651799002408291,0.16299400184376797,0.16736579863789022
scala,13220,97526,110746,0.1193722572372817,0.11746266811791063,0.12128184635665278
vue.js,10806,94273,105079,0.10283691317960772,0.10100033965194712,0.10467348670726832
twitter-bootstrap,11460,89956,101416,0.11299992111698351,0.11105140621270651,0.11494843602126051
performance,18503,82655,101158,0.18291188042468218,0.18052949864242224,0.18529426220694212
winforms,16027,82479,98506,0.16270074919294256,0.16039580796049677,0.16500569042538835
selenium,12469,85625,98094,0.12711276938446797,0.12502823765654977,0.12919730111238617
loops,16044,80146,96190,0.16679488512319368,0.16443897652634298,0.16915079372004438
kotlin,10399,84017,94416,0.11014023046941196,0.10814328112002587,0.11213717981879805
sqlite,12048,81737,93785,0.1284640400916991,0.1263225166950773,0.1306055634883209
matlab,14385,79004,93389,0.15403313024017817,0.1517179118841143,0.15634834859624205
python-2.7,12807,80275,93082,0.13758836294879784,0.13537541410783158,0.1398013117897641
hibernate,11785,81055,92840,0.1269388194743645,0.12479736881600834,0.12908027013272066
shell,13147,79297,92444,0.14221582796071136,0.13996428785075646,0.14446736807066626
express,10802,81448,92250,0.11709485094850948,0.11501994312697231,0.11916975877004665
dart,9055,82828,91883,0.09854924197076717,0.09662200048259326,0.10047648345894108
entity-framework,13924,76567,90491,0.15387165574477019,0.15152066557653543,0.15622264591300494
csv,13122,76477,89599,0.14645252737195727,0.14413744330614536,0.14876761143776918
rest,10538,78841,89379,0.11790241555622685,0.11578815750277718,0.12001667360967652
apache,9538,79745,89283,0.10682884759696695,0.1048026429841291,0.1088550522098048
maven,11131,75954,87085,0.12781764942297755,0.12560004819411336,0.13003525065184174
android-studio,9078,77684,86762,0.10463105968050529,0.10259438052591602,0.10666773883509456
linq,15162,71295,86457,0.17537041535098372,0.17283549912347157,0.17790533157849586
dictionary,14252,71504,85756,0.16619245300620364,0.1637009445044537,0.1686839615079536
qt,10823,73939,84762,0.12768693518321889,0.12544013270848786,0.1299337376579499
asp.net-core,11360,72610,83970,0.135286411813743,0.13297297721912352,0.1375998464083625
