term,odds_ratio,std.error,statistic,p.value,conf.low,conf.high,p_adj
(Intercept),0.15839628418632826,0.0018473161660414242,-997.4769301376263,0,0.1578235568063961,0.15897058406548065,0
topic.htaccess,0.7880208965467737,0.012031978568032505,-19.799791835437865,2.9892639963495515e-87,0.769600242657693,0.8067713418849575,6.717447182807982e-87
topic.net,1.0964096627245898,0.0051988494308207595,17.70409006271342,3.899317713048444e-70,1.0852844085064404,1.107628771427214,7.645721005977341e-70
topic.net-core,0.8935951395190723,0.014458272944313118,-7.7811831944563545,7.184936233859783e-15,0.8685419314655923,0.9191916942713656,9.211456710076646e-15
topicajax,1.1181209601762183,0.006273455930347185,17.797138208957648,7.437358337240636e-71,1.1044407164881895,1.1319376535939731,1.5024966337859872e-70
topicalgorithm,1.919729890262391,0.007054545081020622,92.44883780566437,0,1.8933412078582956,1.9464292807025403,0
topicamazon-s3,0.7662810453812222,0.01463812842787844,-18.185813703506305,6.68557705746142e-74,0.7445285065895872,0.7885046498974749,1.392828553637796e-73
topicamazon-web-services,0.7627404147699137,0.008424655062925451,-32.14820311510847,9.357902593490247e-227,0.750223911378989,0.7754156366804645,5.671456117266816e-226
topicandroid,0.8556832413936176,0.0032182699375932875,-48.42819882953799,0,0.8503011130970308,0.8610964124503351,0
topicandroid-fragments,1.0367264980975914,0.013774625795945501,2.6184487040563313,0.008833057082148637,1.0090257529466262,1.0650083272850666,0.009601149002335474
topicandroid-layout,0.8654921344025638,0.012914902370322803,-11.18529495524556,4.81302412113023e-29,0.8437920114733325,0.887612093129445,6.82698456897905e-29
topicandroid-studio,0.7377574870348874,0.011243306807453989,-27.050770911756636,3.740531429802518e-161,0.7216318692284988,0.7541518986562202,1.4668750705107912e-160
topicangular,0.7965835058873252,0.006092033208206144,-37.33126631391715,5.105876975709388e-305,0.7871161056137679,0.8061404369381329,4.084701580567511e-304
topicangularjs,0.8329618543396164,0.006428145481971891,-28.432373144963325,8.050001424330764e-178,0.8225186350697957,0.8435090170793934,3.3541672601378183e-177
topicanimation,0.7649533394578929,0.015597722977952429,-17.178176684330623,3.868811472742577e-66,0.7418308382263318,0.788608983753791,7.51225528687879e-66
topicapache,0.7551076656082581,0.01098959493806801,-25.56008097007747,4.242004035132534e-144,0.7389728172325785,0.7715060736807405,1.3908209951254211e-143
topicapache-spark,0.7310787281497172,0.011794229252812288,-26.558253114301433,2.0621322175414372e-155,0.7143224323995013,0.7481274130989731,7.49866260924159e-155
topicarrays,1.3318884440443997,0.0044844372570904,63.90942752969709,0,1.3202259545871142,1.3436391181647562,0
topicasp.net,0.9838413408677591,0.0051682592841206555,-3.152054297249245,0.001621261224233413,0.9739164081715858,0.9938489006165058,0.0017816057409158386
topicasp.net-core,0.9877269553415005,0.010257113673770907,-1.2039430206342943,0.22861160235541075,0.9680232111980147,1.0077390022806514,0.2356820642839286
topicasp.net-mvc,1.0785540111958134,0.006626749709424453,11.411516781373267,3.66285792093735e-30,1.0646179675119125,1.0926356815318718,5.270299166816331e-30
topicassembly,1.6563020073227133,0.01176166746056799,42.90100979293577,0,1.6184767136452876,1.694844292263941,0
topicasynchronous,1.244019986953735,0.01207189713537764,18.087302966747494,4.012491013262754e-73,1.214858265843913,1.2737295029574645,8.273177346933512e-73
topicauthentication,0.8421644989659932,0.011658766877487846,-14.733969611327842,3.9010188272183385e-49,0.8230851598780513,0.861576988326132,6.501698045363898e-49
