topic,n_miscomm,n_no_miscomm,n_total,p_value,estimate,ci_lower,ci_upper,p_adj,significant,direction
java,287850,1598244,1886094,0,0.15261699575949025,0.022419483907529403,0.02348097857272452,0,TRUE,above_baseline
c#,255915,1348178,1604093,0,0.15953875492256372,0.029289409545871694,0.03045457126052917,0,TRUE,above_baseline
php,204649,1241812,1446461,0,0.1414825563910814,0.01123194609100836,0.012399637652427853,0,TRUE,above_baseline
c++,153457,654728,808185,0,0.18987855503381032,0.05934608199258755,0.06107749903630651,0,TRUE,above_baseline
sql,103604,568391,671995,0,0.15417376617385545,0.02363307460872492,0.02538092870025939,0,TRUE,above_baseline
mysql,97501,556245,653746,0,0.14914202151906092,0.018601209678315436,0.020349304321079818,0,TRUE,above_baseline
r,55511,447519,503030,0,0.11035325924895135,-0.020189874586024118,-0.018437135954799757,0,TRUE,below_baseline
reactjs,50369,407631,458000,0,0.1099759825327511,-0.020606898003020548,-0.01877466597020385,0,TRUE,below_baseline
arrays,72523,343766,416289,0,0.17421310675996723,0.04338623864091545,0.04570644584029243,0,TRUE,above_baseline
c,82868,323270,406138,0,0.2040390212193885,0.07312549230310621,0.0756190210969442,0,TRUE,above_baseline
sql-server,51941,282957,334898,0,0.15509498414442607,0.02419477010348578,0.026661669146639783,0,TRUE,above_baseline
wordpress,18271,166765,185036,0,0.09874294731835967,-0.03228977348424667,-0.029557860917760574,0,TRUE,below_baseline
string,31696,152858,184554,0,0.17174377147068068,0.040350983583658497,0.043803030318976276,0,TRUE,above_baseline
flutter,15677,155668,171345,0,0.09149376987948292,-0.039544802324164345,-0.0368011869555964,0,TRUE,below_baseline
list,23377,118060,141437,0,0.16528206904841025,0.03367483505780959,0.03755577400028433,0,TRUE,above_baseline
multithreading,26121,113215,139336,0,0.18746770396738818,0.05574720732808421,0.05985467156796557,0,TRUE,above_baseline
react-native,11015,117338,128353,0,0.08581801749861709,-0.04538702859478285,-0.04231046544670956,0,TRUE,below_baseline
algorithm,28133,92519,120652,0,0.2331747505221629,0.10111815925207798,0.10589781275352125,0,TRUE,above_baseline
performance,18503,82655,101158,0,0.18291188042468218,0.05085894171458399,0.05563129009605378,0,TRUE,above_baseline
linq,15162,71295,86457,0,0.17537041535098372,0.043165175496328735,0.04824212616691211,0,TRUE,above_baseline
class,14959,64513,79472,0,0.1882298167908194,0.055841987199801796,0.06128411734311043,0,TRUE,above_baseline
oop,11942,50053,61995,0,0.1926284377772401,0.05985440685550439,0.06606893966024921,0,TRUE,above_baseline
pointers,12541,44393,56934,0,0.22027259633962132,0.08719895539145285,0.0940127082490632,0,TRUE,above_baseline
c++11,11550,44959,56509,0,0.20439222070820579,0.07139786469252898,0.078053047685156,0,TRUE,above_baseline
assembly,9356,35662,45018,0,0.20782797991914345,0.07441062777180064,0.08191180302775967,0,TRUE,above_baseline
math,9461,34813,44274,0,0.21369200885395492,0.0802046010728034,0.08784588759637986,0,TRUE,above_baseline
sorting,13368,63481,76849,3.5959559781769955e-291,0.1739515153092428,0.04160127191549917,0.04696822966425984,2.663671094945923e-290,TRUE,above_baseline
perl,11991,56042,68033,2.0239463406178882e-285,0.17625270089515382,0.04371953388001126,0.0494523388715698,1.445675957584206e-284,TRUE,above_baseline
function,18313,92554,110867,7.196299470582333e-270,0.1651799002408291,0.033323097114282635,0.037703174328648975,4.9629651521257466e-269,TRUE,above_baseline
android,163494,1206268,1369762,4.588685645323397e-268,0.11935942156374611,-0.010866877256173038,-0.009747808655061321,3.059123763548931e-267,TRUE,below_baseline
generics,9106,40848,49954,9.118986132009041e-268,0.18228770468831323,0.04923259089092586,0.056009289446974024,5.883216859360671e-267,TRUE,above_baseline
recursion,8662,38509,47171,5.8034737692633436e-266,0.18362977252973225,0.05046636891602539,0.05745964710471253,3.62717110578959e-265,TRUE,above_baseline
loops,16044,80146,96190,3.24026663708832e-256,0.16679488512319368,0.034768376075571,0.03948786513208978,1.9637979618717092e-255,TRUE,above_baseline
cordova,4835,53394,58229,1.4015663677825226e-245,0.08303422693159766,-0.04887783011071757,-0.04438724506481369,8.244508045779545e-245,TRUE,below_baseline
jquery,143735,876134,1019869,1.6894943203462664e-240,0.14093476711224676,0.010579289523384432,0.011956715662382496,9.654253259121523e-240,TRUE,above_baseline
vba,32971,182305,215276,1.588654013793842e-228,0.1531568776826028,0.021962794760811272,0.025017431565667752,8.825855632188011e-228,TRUE,above_baseline
