topic,category,std_residual,track,significant,direction
javascript,comprehension_failure,23.758968795331445,tags,TRUE,over_represented
python,comprehension_failure,2.9392531550100722,tags,TRUE,over_represented
java,comprehension_failure,-14.161853147729527,tags,TRUE,under_represented
c#,comprehension_failure,-2.600143477129886,tags,TRUE,under_represented
php,comprehension_failure,-8.18621461108989,tags,TRUE,under_represented
android,comprehension_failure,-25.291340635399905,tags,TRUE,under_represented
html,comprehension_failure,34.471705649833766,tags,TRUE,over_represented
jquery,comprehension_failure,18.84085164111308,tags,TRUE,over_represented
c++,comprehension_failure,26.916659963257604,tags,TRUE,over_represented
css,comprehension_failure,48.75963166726906,tags,TRUE,over_represented
sql,comprehension_failure,-6.473455025415026,tags,TRUE,under_represented
ios,comprehension_failure,-11.964260954882626,tags,TRUE,under_represented
mysql,comprehension_failure,-9.506379902001942,tags,TRUE,under_represented
r,comprehension_failure,25.728963176627264,tags,TRUE,over_represented
reactjs,comprehension_failure,-9.733889337750313,tags,TRUE,under_represented
node.js,comprehension_failure,-19.74490000118154,tags,TRUE,under_represented
arrays,comprehension_failure,8.162805747616884,tags,TRUE,over_represented
c,comprehension_failure,11.794105555412052,tags,TRUE,over_represented
asp.net,comprehension_failure,-10.006469292105038,tags,TRUE,under_represented
json,comprehension_failure,-21.428852183808807,tags,TRUE,under_represented
.net,comprehension_failure,4.3428480020757325,tags,TRUE,over_represented
sql-server,comprehension_failure,-13.1435312300053,tags,TRUE,under_represented
python-3.x,comprehension_failure,1.0559163262688112,tags,FALSE,not_significant
ruby-on-rails,comprehension_failure,-16.809528725179376,tags,TRUE,under_represented
swift,comprehension_failure,-10.577662393954798,tags,TRUE,under_represented
django,comprehension_failure,-17.432580601845018,tags,TRUE,under_represented
angular,comprehension_failure,-7.661371052814222,tags,TRUE,under_represented
objective-c,comprehension_failure,-2.9965445738347287,tags,TRUE,under_represented
excel,comprehension_failure,4.083384392970637,tags,TRUE,over_represented
pandas,comprehension_failure,-5.481872120428147,tags,TRUE,under_represented
regex,comprehension_failure,27.06293208082452,tags,TRUE,over_represented
angularjs,comprehension_failure,-2.7744894474412796,tags,TRUE,under_represented
typescript,comprehension_failure,3.3721141986119045,tags,TRUE,over_represented
ruby,comprehension_failure,-1.51261194117787,tags,FALSE,not_significant
linux,comprehension_failure,-0.35224642873862144,tags,FALSE,not_significant
ajax,comprehension_failure,-9.371776972576864,tags,TRUE,under_represented
iphone,comprehension_failure,-0.194779725886392,tags,FALSE,not_significant
vba,comprehension_failure,3.4984640860799883,tags,TRUE,over_represented
xml,comprehension_failure,-7.086642540534552,tags,TRUE,under_represented
laravel,comprehension_failure,-16.814307935891556,tags,TRUE,under_represented
spring,comprehension_failure,-16.452127842165353,tags,TRUE,under_represented
asp.net-mvc,comprehension_failure,-10.050857107274965,tags,TRUE,under_represented
database,comprehension_failure,-3.0713163483590185,tags,TRUE,under_represented
wordpress,comprehension_failure,-0.6312126007851105,tags,FALSE,not_significant
string,comprehension_failure,8.116797340801307,tags,TRUE,over_represented
postgresql,comprehension_failure,-3.3681029456838125,tags,TRUE,under_represented
flutter,comprehension_failure,-14.815327053633773,tags,TRUE,under_represented
mongodb,comprehension_failure,-8.701473028385871,tags,TRUE,under_represented
wpf,comprehension_failure,1.6129825475356427,tags,FALSE,not_significant
windows,comprehension_failure,-0.7343822306513182,tags,FALSE,not_significant
bash,comprehension_failure,5.734828811639132,tags,TRUE,over_represented
xcode,comprehension_failure,-7.631259327716661,tags,TRUE,under_represented
amazon-web-services,comprehension_failure,-8.358068024091418,tags,TRUE,under_represented
oracle-database,comprehension_failure,-3.205260344611693,tags,TRUE,under_represented
git,comprehension_failure,5.029965374266227,tags,TRUE,over_represented
dataframe,comprehension_failure,-0.32703114162786057,tags,FALSE,not_significant
spring-boot,comprehension_failure,-15.982700212598223,tags,TRUE,under_represented
azure,comprehension_failure,-8.334174584026343,tags,TRUE,under_represented
list,comprehension_failure,8.590286930194123,tags,TRUE,over_represented
multithreading,comprehension_failure,6.454792427504112,tags,TRUE,over_represented
firebase,comprehension_failure,-16.751189853698346,tags,TRUE,under_represented
vb.net,comprehension_failure,-5.754925941632664,tags,TRUE,under_represented
docker,comprehension_failure,-14.983857347997628,tags,TRUE,under_represented
react-native,comprehension_failure,-11.15824358455256,tags,TRUE,under_represented
eclipse,comprehension_failure,-2.561137546219785,tags,TRUE,under_represented
algorithm,comprehension_failure,14.758234955610263,tags,TRUE,over_represented
powershell,comprehension_failure,-4.66222665214553,tags,TRUE,under_represented
macos,comprehension_failure,-6.50589006685509,tags,TRUE,under_represented
numpy,comprehension_failure,11.20009471536022,tags,TRUE,over_represented
visual-studio,comprehension_failure,1.739287167722311,tags,FALSE,not_significant
forms,comprehension_failure,-0.7071932211299956,tags,FALSE,not_significant
image,comprehension_failure,2.1950137504645033,tags,TRUE,over_represented
