tag,n_questions
javascript,2526028
python,2208550
java,1917452
c#,1623495
php,1463989
android,1416152
html,1186806
jquery,1031242
c++,814863
css,806483
ios,688438
sql,674461
mysql,658718
r,510817
reactjs,475158
node.js,470501
arrays,417843
c,408256
asp.net,373292
json,360696
python-3.x,341390
.net,340635
ruby-on-rails,338126
sql-server,336652
swift,336270
django,311470
angular,306745
objective-c,291885
excel,289488
pandas,289182
angularjs,261549
regex,261134
typescript,234514
ruby,229256
linux,227483
ajax,220743
iphone,220058
vba,216459
xml,214834
laravel,212591
spring,211983
asp.net-mvc,200715
database,193970
wordpress,190435
string,184963
flutter,179106
postgresql,178942
mongodb,175374
wpf,170012
windows,167952
xcode,159697
amazon-web-services,159019
bash,156795
git,153684
oracle-database,152591
spring-boot,150565
dataframe,148717
azure,145113
firebase,143526
list,141946
multithreading,141031
vb.net,140092
docker,139326
react-native,137528
eclipse,124627
algorithm,121470
powershell,119223
macos,118616
visual-studio,116046
numpy,115177
image,113497
forms,113267
scala,112827
function,111426
vue.js,108084
twitter-bootstrap,102778
performance,102729
selenium,100066
winforms,99212
kotlin,97780
loops,96641
hibernate,95097
sqlite,95050
express,94892
dart,94721
python-2.7,94665
matlab,94655
shell,92989
rest,91923
entity-framework,91750
apache,91691
csv,90395
android-studio,90352
maven,89125
linq,86707
qt,86384
dictionary,86287
unit-testing,85747
asp.net-core,85389
facebook,85022
apache-spark,82619
tensorflow,82176
file,81358
swing,81355
class,79849
sorting,77317
date,77083
unity-game-engine,76943
authentication,75689
go,74468
symfony,74205
t-sql,73650
opencv,72952
matplotlib,72842
.htaccess,72749
google-chrome,72251
for-loop,72062
datetime,71477
codeigniter,69115
perl,68315
http,68056
validation,67627
sockets,66378
google-maps,65879
object,65021
uitableview,64307
xaml,63022
oop,62277
if-statement,62179
cordova,61339
visual-studio-code,61191
ubuntu,60565
web-services,59528
email,59204
android-layout,58995
spring-mvc,58404
elasticsearch,58299
github,58190
ms-access,57910
kubernetes,57882
ggplot2,57700
parsing,57564
selenium-webdriver,57498
user-interface,57422
pointers,57032
c++11,56754
google-sheets,56345
security,56320
ruby-on-rails-3,55873
templates,55727
google-apps-script,55642
machine-learning,55616
flask,55141
nginx,54688
variables,53887
exception,53776
sql-server-2008,53625
gradle,52908
debugging,52733
tkinter,52695
listview,52594
delphi,52550
jpa,52143
asynchronous,51974
haskell,51807
jsp,51441
web-scraping,51410
pdf,51189
ssl,51113
amazon-s3,50869
xamarin,50729
wcf,50651
jenkins,50599
testing,50416
google-cloud-platform,50388
generics,50340
batch-file,50333
npm,49864
ionic-framework,48475
unix,47580
network-programming,47544
recursion,47430
google-app-engine,46945
mongoose,46642
visual-studio-2010,46397
.net-core,45892
android-fragments,45555
assembly,45189
animation,44733
math,44497
svg,44309
session,44232
hadoop,44190
intellij-idea,44029
join,43869
rust,43864
curl,43816
winapi,43730
django-models,43691
laravel-5,43644
