topic,n_sampled,n_words_matched,concreteness_score
.htaccess,500,2891,2.655894154271878
.net,500,3403,2.7207170143990598
.net-core,500,3800,2.8614973684210527
ajax,500,3218,2.708325046612803
algorithm,500,3724,2.5761412459720727
amazon-s3,500,3417,2.744776119402985
amazon-web-services,500,3304,2.7250181598062952
android,500,3486,2.8799139414802064
android-fragments,500,3570,2.8453893557422965
android-layout,500,3731,2.870881801125704
android-studio,500,3910,2.927084398976982
angular,500,3819,2.758599109714585
angularjs,500,3330,2.7684144144144143
animation,500,3336,2.77107314148681
apache,500,2995,2.807475792988314
apache-spark,500,3600,2.8286083333333334
arrays,500,3936,2.51666412601626
asp.net,500,3494,2.828002289639382
asp.net-core,500,3912,2.855
asp.net-mvc,500,3590,2.796292479108635
assembly,500,3498,2.709462550028588
asynchronous,500,3288,2.6157846715328468
authentication,500,3338,2.742273816656681
azure,500,3811,2.7787798478089742
bash,500,3854,2.7714063310845876
batch-file,500,4313,2.880976118710874
c,500,3574,2.591429770565193
c#,500,3464,2.6853983833718242
c++,500,3482,2.5994629523262494
c++11,500,3412,2.558048065650645
class,500,3831,2.6480892717306186
codeigniter,500,3300,2.753839393939394
cordova,500,3188,2.886640526976161
css,500,3582,2.866845337800112
csv,500,3492,2.7958132875143185
curl,500,3382,2.8672678888231817
dart,500,4115,2.830374240583232
database,500,3752,2.7453331556503198
dataframe,500,3967,2.6271338542979583
date,500,3678,2.7260059815116913
datetime,500,3545,2.6657320169252468
debugging,500,3569,2.742317175679462
delphi,500,3075,2.646539837398374
dictionary,500,3891,2.8079414032382424
django,500,3527,2.72281542387298
django-models,500,3667,2.6939841832560676
docker,500,3439,2.8295812736260544
eclipse,500,3553,2.8917956656346746
elasticsearch,500,3149,2.704960304858685
email,500,3571,2.86654998599832
entity-framework,500,3697,2.6829645658642143
excel,500,3899,2.720400102590408
exception,500,3407,2.6151423539771064
express,500,3856,2.6955783195020744
facebook,500,3639,2.986051112943116
file,500,3905,2.822604353393086
firebase,500,3615,2.739455048409405
flask,500,3819,2.9547106572401156
flutter,500,4148,2.8066562198649954
for-loop,500,4230,2.636018912529551
forms,500,3627,2.7560270195754066
function,500,3762,2.5026927166400847
generics,500,3735,2.5634377510040163
ggplot2,500,3758,2.706128259712613
git,500,3763,2.692705288333776
github,500,3804,2.6967245005257623
go,500,3547,2.6739469974626444
google-app-engine,500,3798,2.972388098999473
google-apps-script,500,4569,2.865397242284964
google-chrome,500,3846,2.961440457618305
google-cloud-platform,500,4098,2.874738897022938
google-maps,500,3584,2.93015625
google-sheets,500,4264,2.798079268292683
gradle,500,3338,2.7596165368484122
hadoop,500,3266,2.840823637477036
haskell,500,3209,2.567129947023995
hibernate,500,3419,2.722398362094179
html,500,3526,2.795011344299489
http,500,3656,2.677948577680525
if-statement,500,4023,2.48041759880686
image,500,3569,2.828596245446904
intellij-idea,500,3430,2.7284985422740524
ionic-framework,500,3724,2.778235767991407
ios,500,3395,2.747257731958763
iphone,500,3372,2.8044009489916966
java,500,3324,2.760547533092659
javascript,500,3393,2.7173180076628354
jenkins,500,3378,2.753641207815275
join,500,3792,2.7355379746835444
jpa,500,3562,2.680407074677148
jquery,500,3467,2.743801557542544
json,500,3236,2.6855191594561187
jsp,500,3433,2.7208971744829595
kotlin,500,3779,2.747157978301138
kubernetes,500,3310,2.7344350453172206
laravel,500,3249,2.7068821175746383
laravel-5,500,3129,2.7441770533716845
linq,500,3452,2.5987427578215527
linux,500,3491,2.758521913491836
list,500,4285,2.7131855309218205
listview,500,3162,2.796799493991145
loops,500,3885,2.669976833976834
machine-learning,500,3644,2.6301427003293085
macos,500,3393,2.797480106100796
math,500,3633,2.56176988714561
matlab,500,3294,2.6069459623557987
matplotlib,500,3481,2.7538839413961504
maven,500,3374,2.7672703023117964
mongodb,500,3339,2.703465109314166
mongoose,500,3732,2.7719667738478027
ms-access,500,3899,2.7224057450628365
multithreading,500,3506,2.7446377638334285
mysql,500,3498,2.680071469411092
network-programming,500,3550,2.7042619718309857
nginx,500,3061,2.7489186540346293
node.js,500,3513,2.7126216908625107
npm,500,3416,2.76663056206089
numpy,500,3614,2.589089651355838
object,500,3765,2.5973598937583
objective-c,500,3217,2.6914299036369287
oop,500,3699,2.6350932684509325
opencv,500,3206,2.7754803493449782
oracle-database,500,3743,2.698936681806038
pandas,500,3831,2.6749125554685462
parsing,500,3034,2.719377059986816
pdf,500,3436,2.718728172293364
performance,500,3421,2.672174802689272
perl,500,3627,2.6957154673283705
php,500,3404,2.6979435957696825
pointers,500,3497,2.509994280812125
postgresql,500,3517,2.6455132214955928
powershell,500,3491,2.7322314523059292
python,500,3685,2.773164179104478
python-2.7,500,3395,2.840818851251841
python-3.x,500,4014,2.7499302441454905
qt,500,2935,2.674327086882453
r,500,3750,2.6511573333333334
react-native,500,4320,2.7549189814814814
reactjs,500,4012,2.6573180458624126
recursion,500,3503,2.594755923494148
regex,500,3341,2.7183837174498655
rest,500,3560,2.713797752808989
ruby,500,3451,2.8000579542161694
ruby-on-rails,500,3380,2.7223550295857986
ruby-on-rails-3,500,3402,2.717501469723692
rust,500,4288,2.558183302238806
scala,500,3353,2.6688637041455414
security,500,3597,2.7149318876841813
selenium,500,3555,2.7975274261603373
selenium-webdriver,500,3850,2.7818493506493507
session,500,3404,2.68301116333725
shell,500,3888,2.844053497942387
sockets,500,3538,2.8668824194460147
sorting,500,3449,2.6726123514062046
spring,500,3592,2.830172605790646
spring-boot,500,3914,2.842381195707716
spring-mvc,500,3596,2.809813681868743
sql,500,3765,2.6601195219123506
sql-server,500,3661,2.757437858508604
sql-server-2008,500,3576,2.7675167785234898
sqlite,500,3325,2.7480661654135337
ssl,500,3208,2.8293734413965086
string,500,3739,2.746825354372827
svg,500,3261,2.814777675559644
swift,500,3429,2.6945873432487604
swing,500,3198,2.78979674796748
symfony,500,3104,2.706282216494845
t-sql,500,3610,2.6842880886426594
templates,500,3484,2.702916188289323
tensorflow,500,3495,2.6174964234620886
testing,500,3594,2.74082081246522
tkinter,500,3975,2.799227672955975
twitter-bootstrap,500,3377,3.0085282795380515
typescript,500,3926,2.709118695873663
ubuntu,500,3174,2.8479710144927535
uitableview,500,3203,2.7494005619731503
unit-testing,500,3696,2.69504329004329
unity-game-engine,500,3847,2.705331427086041
unix,500,3620,2.7593453038674034
user-interface,500,3394,2.7562934590453745
validation,500,3258,2.6947022713321056
variables,500,3600,2.5615361111111112
vb.net,500,3449,2.7773006668599596
vba,500,3966,2.6841906202723145
visual-studio,500,3802,2.8316333508679645
visual-studio-2010,500,3572,2.7846500559910417
visual-studio-code,500,4035,2.8132441140024786
vue.js,500,3598,2.7151334074485822
wcf,500,3170,2.6090788643533127
web-scraping,500,3687,2.8596853810686196
web-services,500,3452,2.757062572421784
winapi,500,3224,2.7099658808933005
windows,500,3463,2.7553883915680046
winforms,500,3656,2.6869256017505467
wordpress,500,3326,2.829034876728804
wpf,500,3270,2.725920489296636
xamarin,500,3344,2.8080053827751192
xaml,500,3346,2.759515839808727
xcode,500,3351,2.7629513578036407
xml,500,2964,2.6931612685560053
