topic,n_questions,n_miscomm,miscomm_rate
algorithm,120652,28133.0,0.2331747505221629
pointers,56934,12541.0,0.22027259633962132
math,44274,9461.0,0.21369200885395492
assembly,45018,9356.0,0.20782797991914345
c++11,56509,11550.0,0.20439222070820579
c,406138,82868.0,0.2040390212193885
oop,61995,11942.0,0.1926284377772401
c++,808185,153457.0,0.18987855503381032
class,79472,14959.0,0.1882298167908194
multithreading,139336,26121.0,0.18746770396738818
recursion,47171,8662.0,0.18362977252973225
performance,101158,18503.0,0.18291188042468218
generics,49954,9106.0,0.18228770468831323
perl,68033,11991.0,0.17625270089515382
linq,86457,15162.0,0.17537041535098372
arrays,416289,72523.0,0.17421310675996723
sorting,76849,13368.0,0.1739515153092428
string,184554,31696.0,0.17174377147068068
delphi,52166,8957.0,0.1717018747843423
object,64700,11014.0,0.1702318392581144
winapi,43437,7326.0,0.16865805649561433
variables,53667,9044.0,0.1685206924180595
google-apps-script,55235,9278.0,0.1679732053951299
haskell,51466,8603.0,0.16715890102203396
loops,96190,16044.0,0.16679488512319368
dictionary,85756,14252.0,0.16619245300620364
for-loop,71772,11915.0,0.1660118151925542
list,141437,23377.0,0.16528206904841025
function,110867,18313.0,0.1651799002408291
if-statement,62016,10227.0,0.16490905572755418
templates,55206,9095.0,0.1647465855160671
asynchronous,51096,8411.0,0.16461171128855487
file,80566,13257.0,0.1645483206315319
winforms,98506,16027.0,0.16270074919294256
sockets,64863,10502.0,0.1619104882598708
swing,81100,12987.0,0.16013563501849568
c#,1604093,255915.0,0.15953875492256372
exception,53044,8448.0,0.15926400723927306
t-sql,73548,11629.0,0.1581144286724316
join,43617,6878.0,0.15769080862966275
sql-server,334898,51941.0,0.15509498414442607
uitableview,63523,9838.0,0.15487303811217984
sql,671995,103604.0,0.15417376617385545
matlab,93389,14385.0,0.15403313024017817
entity-framework,90491,13924.0,0.15387165574477019
ms-access,57696,8864.0,0.1536328341652801
sql-server-2008,53388,8189.0,0.15338652880797182
vba,215276,32971.0,0.1531568776826028
java,1886094,287850.0,0.15261699575949025
parsing,57006,8587.0,0.15063326667368349
vb.net,138844,20906.0,0.150571864826712
ajax,217654,32748.0,0.15045898536208846
mysql,653746,97501.0,0.14914202151906092
regex,260714,38665.0,0.1483042721142708
database,191655,28407.0,0.1482194568365031
.net,335866,49698.0,0.14796972602168723
bash,156221,23086.0,0.14777782756479602
git,151498,22201.0,0.1465431886889596
csv,89599,13122.0,0.14645252737195727
asp.net-mvc,198120,28908.0,0.14591156874621442
unix,47361,6905.0,0.1457950634488292
oracle-database,151528,22074.0,0.1456760466712423
forms,111770,16178.0,0.14474367003668248
tkinter,52320,7570.0,0.14468654434250763
datetime,71120,10249.0,0.14410854893138358
session,43162,6216.0,0.1440155692507298
security,54938,7892.0,0.14365284502530126
shell,92444,13147.0,0.14221582796071136
php,1446461,204649.0,0.1414825563910814
android-fragments,44296,6248.0,0.14105111070977064
jquery,1019869,143735.0,0.14093476711224676
batch-file,50174,7045.0,0.14041136843783633
numpy,114090,15980.0,0.14006486107459024
json,356382,49912.0,0.14005196670987874
objective-c,287467,40211.0,0.13988040366372487
date,76714,10730.0,0.13987016711421643
excel,287052,40110.0,0.13973078048576565
google-sheets,56009,7824.0,0.13969183524076487
listview,51694,7188.0,0.13904901922853716
python-2.7,93082,12807.0,0.13758836294879784
swift,328224,44954.0,0.13696134347275032
unity-game-engine,74887,10244.0,0.13679276777010696
javascript,2482383,339435.0,0.1367375622536893
wpf,167667,22896.0,0.13655638855588756
image,111381,15149.0,0.1360106301792945
jpa,51084,6927.0,0.13560018792576933
html,1173394,158888.0,0.135408907834879
asp.net-core,83970,11360.0,0.135286411813743
python,2170613,293149.0,0.13505355399603705
asp.net,367941,49608.0,0.13482596394530644
linux,223782,30106.0,0.1345327148742973
opencv,70906,9537.0,0.1345020167545765
user-interface,56522,7574.0,0.13400091999575386
network-programming,46290,6200.0,0.13393821559732125
rust,43243,5739.0,0.13271512152255857
django-models,43025,5703.0,0.13255084253341082
ruby,226811,29891.0,0.13178814078682252
