topic,category,n_questions,n_miscomm,miscomm_rate
validation,comprehension_failure,66475,4268.0,0.06420458819104927
oracle-database,comprehension_failure,151528,10845.0,0.07157093078506943
jsp,comprehension_failure,50776,3003.0,0.0591421143847487
delphi,comprehension_failure,52166,4784.0,0.09170724226507687
visual-studio,comprehension_failure,113480,7169.0,0.06317412759957702
pdf,comprehension_failure,49715,2832.0,0.05696469878306346
ggplot2,comprehension_failure,57192,3226.0,0.056406490418240314
google-cloud-platform,comprehension_failure,49327,2381.0,0.0482697103006467
google-sheets,comprehension_failure,56009,3974.0,0.07095288257244371
intellij-idea,comprehension_failure,43094,2092.0,0.048545041073003205
database,comprehension_failure,191655,14082.0,0.07347577678641308
android,comprehension_failure,1369762,75541.0,0.0551489966870157
eclipse,comprehension_failure,122104,7123.0,0.058335517263971695
docker,comprehension_failure,134308,6158.0,0.0458498376865116
join,comprehension_failure,43617,3548.0,0.08134442992411216
session,comprehension_failure,43162,3003.0,0.0695750891988323
winforms,comprehension_failure,98506,8136.0,0.08259395366779688
security,comprehension_failure,54938,4233.0,0.07705049328333759
algorithm,comprehension_failure,120652,16442.0,0.136276232470245
xcode,comprehension_failure,154984,8783.0,0.056670365973261756
exception,comprehension_failure,53044,4011.0,0.07561646934620316
wcf,comprehension_failure,49255,2946.0,0.05981118668155517
rust,comprehension_failure,43243,2696.0,0.06234535069259765
hadoop,comprehension_failure,42753,1825.0,0.04268706289617103
web-scraping,comprehension_failure,50647,2697.0,0.05325093292791281
vue.js,comprehension_failure,105079,5301.0,0.05044775835323899
react-native,comprehension_failure,128353,4725.0,0.03681254041588432
hibernate,comprehension_failure,92840,5203.0,0.05604265402843602
entity-framework,comprehension_failure,90491,6651.0,0.07349902200218807
facebook,comprehension_failure,81844,3742.0,0.045721127999609014
winapi,comprehension_failure,43437,3779.0,0.08699956258489307
curl,comprehension_failure,42847,2128.0,0.049665087404018954
gradle,comprehension_failure,50355,1959.0,0.038903783139708076
github,comprehension_failure,56654,3360.0,0.05930737458961415
sql,comprehension_failure,671995,51280.0,0.0763100915929434
php,comprehension_failure,1446461,99927.0,0.06908378449194275
.net,comprehension_failure,335866,25492.0,0.07589931698951367
multithreading,comprehension_failure,139336,14050.0,0.10083539071022564
xamarin,comprehension_failure,49891,2847.0,0.05706440039285643
dictionary,comprehension_failure,85756,7522.0,0.0877139791967909
